"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"< 1 year"	"1"	"Asphyxiation"	"T71"	22	56246	39.1
	"Alabama"	"01"	"2020"	"2020"	"1-4 years"	"1-4"	"Unspecified injury of head"	"S09.9"	11	235674	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	113	633391	17.8
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	24	633391	3.8
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	30	633391	4.7
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Open wound of neck, part unspecified"	"S11.9"	12	633391	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Unspecified injury of neck"	"S19.9"	10	633391	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	26	633391	4.1
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Injury of heart, unspecified"	"S26.9"	10	633391	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Other injuries of lung"	"S27.3"	18	633391	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Injury of liver or gallbladder"	"S36.1"	12	633391	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	56	633391	8.8
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	61	633391	9.6
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Open wound of trunk, level unspecified"	"T09.1"	26	633391	4.1
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	36	633391	5.7
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	150	633391	23.7
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	59	633391	9.3
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Heroin"	"T40.1"	10	633391	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Other opioids"	"T40.2"	10	633391	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Other synthetic narcotics"	"T40.4"	40	633391	6.3
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Psychostimulants with abuse potential"	"T43.6"	20	633391	3.2
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	35	633391	5.5
	"Alabama"	"01"	"2020"	"2020"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	20	633391	3.2
	"Alabama"	"01"	"2020"	"2020"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	102	650546	15.7
	"Alabama"	"01"	"2020"	"2020"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	33	650546	5.1
	"Alabama"	"01"	"2020"	"2020"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	32	650546	4.9
