"State","Year","Deaths","State_ID","LogDeaths"
"Alabama",2015,100,1,4.61512051684126
"Alabama",2016,74,1,4.31748811353631
"Alabama",2017,155,1,5.04985600724954
"Alabama",2018,102,1,4.63472898822964
"Alabama",2019,127,1,4.85203026391962
"Alabama",2020,179,1,5.19295685089021
"Alabama",2021,272,1,5.60947179518496
"Alabama",2022,301,1,5.71042701737487
"Alaska",2015,12,2,2.56494935746154
"Alaska",2016,13,2,2.63905732961526
"Alaska",2017,15,2,2.77258872223978
"Alaska",2018,12,2,2.56494935746154
"Alaska",2019,0,2,0
"Alaska",2020,0,2,0
"Alaska",2021,64,2,4.17438726989564
"Alaska",2022,43,2,3.78418963391826
"Arizona",2015,192,3,5.26269018890489
"Arizona",2016,187,3,5.23644196282995
"Arizona",2017,243,3,5.4971682252932
"Arizona",2018,242,3,5.49306144334055
"Arizona",2019,270,3,5.6021188208797
"Arizona",2020,386,3,5.95842469302978
"Arizona",2021,399,3,5.99146454710798
"Arizona",2022,439,3,6.08677472691231
"Arkansas",2015,43,4,3.78418963391826
"Arkansas",2016,44,4,3.80666248977032
"Arkansas",2017,42,4,3.76120011569356
"Arkansas",2018,44,4,3.80666248977032
"Arkansas",2019,35,4,3.58351893845611
"Arkansas",2020,40,4,3.71357206670431
"Arkansas",2021,84,4,4.44265125649032
"Arkansas",2022,93,4,4.54329478227
"California",2015,626,5,6.44094654063292
"California",2016,589,5,6.38012253689976
"California",2017,610,5,6.4150969591716
"California",2018,713,5,6.57088296233958
"California",2019,873,5,6.77308037565554
"California",2020,1307,5,7.17625453201714
"California",2021,1717,5,7.4489161025442
"California",2022,1774,5,7.48155570190952
"Colorado",2015,118,6,4.77912349311153
"Colorado",2016,142,6,4.96284463025991
"Colorado",2017,127,6,4.85203026391962
"Colorado",2018,130,6,4.87519732320115
"Colorado",2019,147,6,4.99721227376411
"Colorado",2020,202,6,5.31320597904179
"Colorado",2021,283,6,5.64897423816121
"Colorado",2022,221,6,5.40267738187228
"Connecticut",2015,279,7,5.63478960316925
"Connecticut",2016,382,7,5.94803498918065
"Connecticut",2017,382,7,5.94803498918065
"Connecticut",2018,426,7,6.05678401322862
"Connecticut",2019,431,7,6.06842558824411
"Connecticut",2020,464,7,6.14203740558736
"Connecticut",2021,562,7,6.33327962813969
"Connecticut",2022,526,7,6.26720054854136
"Delaware",2015,28,8,3.36729582998647
"Delaware",2016,56,8,4.04305126783455
"Delaware",2017,123,8,4.82028156560504
"Delaware",2018,148,8,5.00394630594546
"Delaware",2019,137,8,4.92725368515721
"Delaware",2020,137,8,4.92725368515721
"Delaware",2021,198,8,5.29330482472449
"Delaware",2022,181,8,5.2040066870768
"District of Columbia",2015,46,9,3.85014760171006
"District of Columbia",2016,138,9,4.93447393313069
"District of Columbia",2017,137,9,4.92725368515721
"District of Columbia",2018,72,9,4.29045944114839
"District of Columbia",2019,109,9,4.70048036579242
"District of Columbia",2020,111,9,4.71849887129509
"District of Columbia",2021,94,9,4.55387689160054
"District of Columbia",2022,85,9,4.45434729625351
"Florida",2015,605,10,6.40687998606931
"Florida",2016,899,10,6.80239476332431
"Florida",2017,1218,10,7.10578612948127
"Florida",2018,1137,10,7.03702761468628
"Florida",2019,1312,10,7.1800698743028
