"State.Name","Year","Deaths","State_ID","LogDeaths","ExistingPolicy","Law","LawDateforMap","LawDate","LawDateMonth","MedicaidPolicyDate","MedicaidPolicy","MedicaidPolicyDateMonth","AnyPolicyDateforMap","AnyPolicyDate","ExistingPDMP","PhysicianDensity2009","PhysicianDensity2019","PhysicianDensity","Pop2010","Pop2020","Pop2022","AgeAdjDeathRate","AvgTemp","LogAvgTemp","PoliticalLeaning","OpioidPrescribingRate"
"Arizona",2015,0,1,0,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"Arizona",2016,0,1,0,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"Arizona",2017,0,1,0,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"Arizona",2018,15,1,2.77258872223978,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"Arizona",2019,12,1,2.56494935746154,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"Arizona",2020,0,1,0,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"Arizona",2021,0,1,0,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"Arizona",2022,0,1,0,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.174
"California",2015,43,2,3.78418963391826,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"California",2016,30,2,3.43398720448515,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"California",2017,39,2,3.68887945411394,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"California",2018,34,2,3.55534806148941,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"California",2019,38,2,3.66356164612965,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"California",2020,47,2,3.87120101090789,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"California",2021,49,2,3.91202300542815,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"California",2022,85,2,4.45434729625351,0,0,0,0,0,0,0,0,0,0,0,26.2,29.4,27.8,37253956,39538245,39029342,632.9,59.8777777777778,4.09230544760323,"Democrat",3.896
"Florida",2015,18,3,2.94443897916644,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Florida",2016,16,3,2.83321334405622,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Florida",2017,16,3,2.83321334405622,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Florida",2018,18,3,2.94443897916644,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Florida",2019,35,3,3.58351893845611,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Florida",2020,16,3,2.83321334405622,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Florida",2021,19,3,2.99573227355399,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Florida",2022,48,3,3.89182029811063,0,1,2018,2019,201807,0,0,0,2018,2019,0,26,28.6,27.3,18801310,21538226,22244823,675.3,72.8111111111111,4.28786856870923,"Swing State",3.402
"Illinois",2015,0,4,0,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Illinois",2016,0,4,0,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Illinois",2017,0,4,0,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Illinois",2018,0,4,0,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Illinois",2019,0,4,0,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Illinois",2020,12,4,2.56494935746154,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Illinois",2021,0,4,0,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Illinois",2022,11,4,2.484906649788,1,0,0,0,0,0,0,0,0,0,0,27.8,30.7,29.25,12830632,12812545,12582032,743.8,53.3888888888889,3.97760265107413,"Democrat",4.163
"Maryland",2015,0,5,0,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"Maryland",2016,0,5,0,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"Maryland",2017,0,5,0,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"Maryland",2018,0,5,0,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"Maryland",2019,0,5,0,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"Maryland",2020,0,5,0,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"Maryland",2021,0,5,0,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"Maryland",2022,11,5,2.484906649788,0,1,2017,2017,201705,2019,1,201807,2017,2017,0,39.9,41,40.45,5773552,6177213,6164660,736.7,56.4666666666667,4.03365049354984,"Democrat",4.608
"New Jersey",2015,0,6,0,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New Jersey",2016,0,6,0,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New Jersey",2017,0,6,0,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New Jersey",2018,0,6,0,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New Jersey",2019,0,6,0,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New Jersey",2020,0,6,0,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New Jersey",2021,0,6,0,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New Jersey",2022,19,6,2.99573227355399,0,1,2017,2017,201705,0,0,0,2017,2017,1,32.5,34.6,33.55,8791894,9289031,9261699,700.3,54.7222222222222,4.00226988327592,"Democrat",3.277
"New York",2015,0,7,0,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"New York",2016,11,7,2.484906649788,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"New York",2017,0,7,0,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"New York",2018,23,7,3.17805383034795,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"New York",2019,0,7,0,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"New York",2020,0,7,0,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"New York",2021,15,7,2.77258872223978,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"New York",2022,69,7,4.24849524204936,0,1,2016,2017,201607,0,0,0,2016,2017,1,37.3,39.9,38.6,19378102,20201230,19677151,659.1,46.8888888888889,3.84778073669979,"Democrat",2.157
"Pennsylvania",2015,0,8,0,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Pennsylvania",2016,0,8,0,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Pennsylvania",2017,0,8,0,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Pennsylvania",2018,0,8,0,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Pennsylvania",2019,0,8,0,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Pennsylvania",2020,0,8,0,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Pennsylvania",2021,0,8,0,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Pennsylvania",2022,15,8,2.77258872223978,0,1,2017,2017,201701,0,0,0,2017,2017,1,32.7,35.7,34.2,12702379,13002689,12972008,783.3,50.4666666666667,3.92131305233524,"Swing State",3.191
"Texas",2015,0,9,0,0,1,2019,2020,201909,2018,1,201801,2018,2018,0,21.6,24.3,22.95,25145561,29145428,30029572,761.9,66.6444444444444,4.19937168897869,"Republicans",2.892
"Texas",2016,0,9,0,0,1,2019,2020,201909,2018,1,201801,2018,2018,0,21.6,24.3,22.95,25145561,29145428,30029572,761.9,66.6444444444444,4.19937168897869,"Republicans",2.892
"Texas",2017,0,9,0,0,1,2019,2020,201909,2018,1,201801,2018,2018,0,21.6,24.3,22.95,25145561,29145428,30029572,761.9,66.6444444444444,4.19937168897869,"Republicans",2.892
"Texas",2018,0,9,0,0,1,2019,2020,201909,2018,1,201801,2018,2018,0,21.6,24.3,22.95,25145561,29145428,30029572,761.9,66.6444444444444,4.19937168897869,"Republicans",2.892
